Type	Date	Time	Source	Category	Event	User	Computer
Error	6/14/2022	8:00:40 AM	ApplicationErr	None	1000	N/A	BO126B-041780
Information	6/14/2022	7:59:26 AM	gusvc	None	0	N/A	BO126B-041780
Information	6/14/2022	7:58:35 AM	gupdate	None	0	N/A	BO126B-041780
Information	6/14/2022	7:58:27 AM	gupdate	None	0	N/A	BO126B-041780
Information	6/14/2022	7:58:26 AM	gusvc	None	0	N/A	BO126B-041780
Error	6/14/2022	6:46:21 AM	Userenv   	None	1030	d-user	BO126B-041780
Error	6/14/2022	5:00:21 AM	Userenv   	None	1030	d-user	BO126B-041780
Information	6/14/2022	4:12:17 AM	AntiVirus	None	2	N/A	BO126B-041780
Error	6/14/2022	3:25:21 AM	Userenv   	None	1030	d-user	BO126B-041780
Warning	6/14/2022	3:24:54 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/14/2022	3:24:43 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/14/2022	3:21:15 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/14/2022	2:55:38 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/14/2022	2:54:45 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/14/2022	2:54:43 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/14/2022	2:54:18 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/14/2022	2:51:27 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/14/2022	2:47:01 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/14/2022	2:40:45 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/14/2022	2:40:45 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/14/2022	2:29:59 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/14/2022	2:29:49 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/14/2022	2:23:19 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/14/2022	2:11:19 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/14/2022	2:10:58 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/14/2022	2:10:38 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/14/2022	2:10:24 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/14/2022	2:08:55 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/14/2022	2:07:41 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/14/2022	2:04:30 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/14/2022	2:04:18 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/14/2022	2:04:11 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/14/2022	2:04:06 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/14/2022	2:03:56 AM	AntiVirus	None	6	N/A	BO126B-041780
Error	6/14/2022	1:48:20 AM	Userenv   	None	1030	d-user	BO126B-041780
Warning	6/14/2022	1:36:35 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/14/2022	1:36:35 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/14/2022	1:36:35 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/14/2022	1:36:35 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/14/2022	1:36:34 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/14/2022	1:36:34 AM	AntiVirus	None	6	N/A	BO126B-041780
Information	6/14/2022	1:00:28 AM	AntiVirus	None	3	N/A	BO126B-041780
Error	6/14/2022	12:18:18 AM	Userenv   	None	1030	d-user	BO126B-041780
Error	6/13/2022	10:25:18 PM	Userenv   	None	1030	d-user	BO126B-041780
Error	6/13/2022	8:27:18 PM	Userenv   	None	1030	d-user	BO126B-041780
Information	6/13/2022	7:46:58 PM	SceCli	None	1704	N/A	BO126B-041780
Error	6/13/2022	6:36:18 PM	Userenv   	None	1030	d-user	BO126B-041780
Error	6/13/2022	4:52:17 PM	Userenv   	None	1030	d-user	BO126B-041780
Error	6/13/2022	3:14:18 PM	Userenv   	None	1030	d-user	BO126B-041780
Error	6/13/2022	1:32:17 PM	Userenv   	None	1030	d-user	BO126B-041780
Information	6/13/2022	12:54:04 PM	gusvc	None	0	N/A	BO126B-041780
Error	6/13/2022	12:00:17 PM	Userenv   	None	1030	d-user	BO126B-041780
Error	6/13/2022	10:24:17 AM	Userenv   	None	1030	d-user	BO126B-041780
Error	6/13/2022	8:43:17 AM	Userenv   	None	1030	d-user	BO126B-041780
Error	6/13/2022	6:45:17 AM	Userenv   	None	1030	d-user	BO126B-041780
Error	6/13/2022	4:53:17 AM	Userenv   	None	1030	d-user	BO126B-041780
Information	6/13/2022	4:11:32 AM	AntiVirus	None	2	N/A	BO126B-041780
Warning	6/13/2022	3:24:05 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/13/2022	3:23:54 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/13/2022	3:20:28 AM	AntiVirus	None	6	N/A	BO126B-041780
Error	6/13/2022	3:07:15 AM	Userenv   	None	1030	d-user	BO126B-041780
Warning	6/13/2022	2:56:25 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/13/2022	2:55:18 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/13/2022	2:55:16 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/13/2022	2:54:52 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/13/2022	2:52:01 AM	AntiVirus	None	6	N/A	BO126B-041780
Information	6/13/2022	2:50:00 AM	SceCli	None	1704	N/A	BO126B-041780
Warning	6/13/2022	2:47:27 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/13/2022	2:41:16 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/13/2022	2:41:15 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/13/2022	2:30:37 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/13/2022	2:30:26 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/13/2022	2:23:51 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/13/2022	2:11:45 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/13/2022	2:11:24 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/13/2022	2:11:04 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/13/2022	2:10:50 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/13/2022	2:09:23 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/13/2022	2:08:08 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/13/2022	2:04:50 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/13/2022	2:04:39 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/13/2022	2:04:32 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/13/2022	2:04:26 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/13/2022	2:04:17 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/13/2022	1:37:17 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/13/2022	1:37:17 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/13/2022	1:37:17 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/13/2022	1:37:17 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/13/2022	1:37:17 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/13/2022	1:37:17 AM	AntiVirus	None	6	N/A	BO126B-041780
Error	6/13/2022	1:35:13 AM	Userenv   	None	1030	d-user	BO126B-041780
Information	6/13/2022	1:00:08 AM	AntiVirus	None	3	N/A	BO126B-041780
Error	6/13/2022	12:00:12 AM	Userenv   	None	1030	d-user	BO126B-041780
Error	6/12/2022	10:02:12 PM	Userenv   	None	1030	d-user	BO126B-041780
Error	6/12/2022	8:26:12 PM	Userenv   	None	1030	d-user	BO126B-041780
Error	6/12/2022	6:41:12 PM	Userenv   	None	1030	d-user	BO126B-041780
Error	6/12/2022	4:48:11 PM	Userenv   	None	1030	d-user	BO126B-041780
Error	6/12/2022	3:02:11 PM	Userenv   	None	1030	d-user	BO126B-041780
Information	6/12/2022	2:26:11 PM	AntiVirus	None	7	N/A	BO126B-041780
Error	6/12/2022	1:09:11 PM	Userenv   	None	1030	d-user	BO126B-041780
Information	6/12/2022	12:46:04 PM	gusvc	None	0	N/A	BO126B-041780
Information	6/12/2022	12:44:54 PM	gusvc	None	0	N/A	BO126B-041780
Error	6/12/2022	11:27:11 AM	Userenv   	None	1030	d-user	BO126B-041780
Error	6/12/2022	9:47:11 AM	Userenv   	None	1030	d-user	BO126B-041780
Information	6/12/2022	9:40:47 AM	SceCli	None	1704	N/A	BO126B-041780
Error	6/12/2022	7:59:11 AM	Userenv   	None	1030	d-user	BO126B-041780
Error	6/12/2022	6:18:11 AM	Userenv   	None	1030	d-user	BO126B-041780
Error	6/12/2022	4:28:11 AM	Userenv   	None	1030	d-user	BO126B-041780
Information	6/12/2022	4:10:54 AM	AntiVirus	None	2	N/A	BO126B-041780
Warning	6/12/2022	3:23:23 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/12/2022	3:23:12 AM	AntiVirus	None	6	N/A	BO126B-041780
